"weight"|"lat"|"lon"|"Location"|Create Date|Closed Date|Due Date|CaseType|Case Number                                       
1|29.59511132|-95.1981149|11810 ALGONQUIN, HOUSTON TX 77089|2020-07-29 00:06:55.800|2020-07-29 03:09:19.007|2020-08-02 00:06:55.000|Flooding|12436323-101004188617                             
1|29.5952588|-95.44770002|15727 CLARKE SPRINGS, HOUSTON TX 77053|2021-05-28 16:48:30.173|2021-06-01 10:13:53.520|2021-06-01 16:48:30.000|Flooding|12463805-101004705608                             
1|29.59550662|-95.46703349|Intersection 15900 S POST OAK RD&5500 W RIDGECREEK DR|2020-11-28 00:14:25.957|2020-11-30 13:59:32.143|2020-12-02 00:14:25.000|Flooding|12447354-101004421581                             
1|29.59563839|-95.44822601|15714 CLARKE SPRINGS, HOUSTON TX 77053|2021-05-30 16:08:02.130|2021-06-01 10:17:53.490|2021-06-03 16:08:01.000|Flooding|12463994-101004706840                             
1|29.59711085|-95.4714631|15802 DANFORD, HOUSTON TX 77053|2020-09-21 21:12:15.077|2020-09-22 20:29:19.343|2020-09-25 21:12:14.000|Flooding|12441630-101004284143                             
1|29.59796853|-95.47070164|5634 IRISH HILL, HOUSTON TX 77053|2020-09-21 21:08:02.993|2020-09-22 10:29:18.653|2020-09-25 21:08:02.000|Flooding|12441629-101004284141                             
1|29.59970865|-95.28641521|Intersection 7700 S SAM HOUSTON PKWY E&11400 TELEPHONE RD|2020-09-22 03:42:09.980|2020-09-22 12:04:19.287|2020-09-26 03:42:09.000|Flooding|12441671-101004284272                             
1|29.60288941|-95.45159547|4811 MACRIDGE, HOUSTON TX 77053|2020-09-08 13:06:20.907|2020-09-08 13:24:18.793|2020-09-12 13:06:20.000|Flooding|12440301-101004268350                             
1|29.60320798|-95.23242164|11402 KIRKHOLLOW, HOUSTON TX 77089|2020-09-22 07:47:32.347|2020-09-22 16:29:19.577|2020-09-26 07:47:32.000|Flooding|12441710-101004284367                             
1|29.60320798|-95.23242164|11402 KIRKHOLLOW, HOUSTON TX 77089|2020-12-31 11:41:41.400|2021-01-01 03:29:20.750|2021-01-04 11:41:41.000|Flooding|12450039-101004465944                             
1|29.60352517|-95.22888111|11535 KIRKHOLLOW, HOUSTON TX 77089|2020-09-22 12:18:17.580|2020-09-23 09:59:19.250|2020-09-26 12:18:17.000|Flooding|12441884-101004284979                             
1|29.60358004|-95.12297173|3923 CINNAMON FERN, HOUSTON TX 77059|2021-02-27 10:01:06.210|2021-03-19 15:49:26.430|2021-03-03 10:01:06.000|Flooding|12454500-101004575067                             
1|29.60372182|-95.21621652|12101 SABO, HOUSTON TX 77089|2020-11-18 16:15:31.237|2020-11-19 08:59:20.237|2020-11-22 16:15:31.000|Flooding|12446841-101004403105                             
1|29.60524328|-95.27392349|8202 COASTWAY, HOUSTON TX 77075|2020-12-31 12:25:01.420|2021-01-01 03:34:19.910|2021-01-04 12:25:01.000|Flooding|12450051-101004466021                             
1|29.60699432|-95.31378315|6250 SCHURMIER, HOUSTON TX 77048|2021-06-07 12:34:13.497|2021-06-07 12:55:06.873|2021-06-11 12:34:13.000|Flooding|12465098-101004715840                             
1|29.60825637|-95.27796953|10902 BALLANTINE, HOUSTON TX 77075|2020-09-22 08:28:40.090|2020-09-22 20:34:19.287|2020-09-26 08:28:39.000|Flooding|12441737-101004284440                             
1|29.60897465|-95.47488451|5870 W FUQUA, HOUSTON TX 77085|2021-04-08 19:00:47.397|2021-04-13 12:39:21.397|2021-04-12 19:00:47.000|Flooding|12457997-101004635032                             
1|29.60936661|-95.43450715|14935 BATHURST, HOUSTON TX 77045|2020-08-12 12:54:41.963|2020-08-18 12:43:45.113|2020-08-16 12:53:00.000|Flooding|12437744-101004206688                             
1|29.61116891|-95.40304303|13501 HOOPER, HOUSTON TX 77047|2020-09-22 12:40:39.943|2020-09-22 20:44:18.890|2020-09-26 12:40:39.000|Flooding|12441899-101004285036                             
1|29.61164812|-95.28561732|Intersection 7700 FUQUA ST&10600 TELEPHONE RD|2020-09-21 15:31:48.477|2020-09-22 09:24:18.890|2020-09-25 15:31:48.000|Flooding|12441575-101004283800                             
1|29.6151318|-95.47827589|6305 OBAN, HOUSTON TX 77085|2021-05-24 15:10:13.143|2021-05-25 09:47:46.670|2021-05-28 15:10:12.000|Flooding|12462740-101004699126                             
1|29.61543009|-95.37481487|3140 ALMEDA GENOA, HOUSTON TX 77047|2021-05-19 13:58:24.697|2021-05-19 14:05:40.467|2021-05-23 13:58:24.000|Flooding|12461840-101004683320                             
1|29.61656137|-95.24167354|9802 FONVILLE, HOUSTON TX 77075|2020-12-31 15:12:17.057|2021-01-04 14:09:20.307|2021-01-04 15:12:16.000|Flooding|12450120-101004466332                             
1|29.61656446|-95.24145547|9806 FONVILLE, HOUSTON TX 77075|2020-12-31 13:52:24.140|2021-01-04 13:54:20.497|2021-01-04 13:52:24.000|Flooding|12450105-101004466210                             
1|29.61699879|-95.39871264|13218 ELAINE, HOUSTON TX 77047|2020-09-21 20:10:32.970|2020-09-22 11:39:19.100|2020-09-25 20:10:32.000|Flooding|12441614-101004284103                             
1|29.6178465|-95.39756085|13117 ELAINE, HOUSTON TX 77047|2020-09-26 11:02:51.253|2020-09-28 08:59:22.250|2020-09-30 11:02:51.000|Flooding|12442630-101004290733                             
1|29.61853372|-95.26911573|8402 WAYFARER, HOUSTON TX 77075|2020-09-22 09:36:15.603|2020-09-22 17:49:19.103|2020-09-26 09:36:15.000|Flooding|12441774-101004284580                             
1|29.61971214|-95.46682039|5607 OAKHAM, HOUSTON TX 77085|2020-09-21 20:33:23.960|2020-09-22 11:54:18.697|2020-09-25 20:33:23.000|Flooding|12441620-101004284124                             
1|29.62137841|-95.40426366|12706 KIEV HILLS, HOUSTON TX 77047|2020-09-21 21:22:19.930|2020-09-22 11:44:19.613|2020-09-25 21:22:19.000|Flooding|12441631-101004284147                             
1|29.62244385|-95.43911026|14125 REGG, HOUSTON TX 77045|2020-09-21 17:24:49.733|2020-09-22 10:44:19.650|2020-09-25 17:24:49.000|Flooding|12441596-101004283978                             
1|29.6225474|-95.3949054|1611 PALCIO REAL, HOUSTON TX 77047|2020-12-17 11:29:18.520|2020-12-17 11:56:17.327|2020-12-21 11:29:18.000|Flooding|12448976-101004452454                             
1|29.62328381|-95.27412525|8113 LANHAM, HOUSTON TX 77075|2020-09-22 09:10:57.893|2020-09-22 15:59:19.063|2020-09-26 09:10:57.000|Flooding|12441759-101004284525                             
1|29.6233268|-95.34180663|12830 ALMEDA CROSSING, HOUSTON TX 77048|2020-09-21 21:37:49.410|2020-09-22 12:54:19.427|2020-09-25 21:37:49.000|Flooding|12441636-101004284160                             
1|29.62373646|-95.27295467|8204 GULICK, HOUSTON TX 77075|2020-12-31 12:41:03.200|2021-01-01 03:49:20.800|2021-01-04 12:41:03.000|Flooding|12450063-101004466058                             
1|29.62409582|-95.33241095|5113 ITIEL, HOUSTON TX 77048|2021-05-24 15:18:01.150|2021-05-24 15:33:46.313|2021-05-28 15:18:00.000|Flooding|12462750-101004699159                             
1|29.62433715|-95.27325793|8205 GULICK, HOUSTON TX 77075|2020-09-22 11:20:18.090|2020-09-22 17:54:19.247|2020-09-26 11:20:17.000|Flooding|12441837-101004284815                             
1|29.62433715|-95.27325793|8205 GULICK, HOUSTON TX 77075|2020-12-31 13:23:03.380|2021-01-05 10:19:20.587|2021-01-04 13:23:03.000|Flooding|12450095-101004466158                             
1|29.62448739|-95.21918951|10929 ALMEDA GENOA, HOUSTON TX 77034|2020-09-29 15:27:13.270|2020-09-30 13:29:22.130|2020-10-03 15:27:13.000|Flooding|12442923-101004294590                             
1|29.62658772|-95.51754412|Intersection 15200 MAIN ST&9052 S SAM HOUSTON PKWY W|2020-09-21 22:02:17.823|2020-09-22 12:29:19.653|2020-09-25 22:02:17.000|Flooding|12441640-101004284171                             
1|29.62727721|-95.39231083|11717 CHANTELOUP, HOUSTON TX 77047|2021-04-13 10:00:51.910|2021-04-13 10:14:21.390|2021-04-17 10:00:51.000|Flooding|12458266-101004639584                             
1|29.62747001|-95.48912027|13734 FIREROCK, HOUSTON TX 77085|2020-12-03 11:22:31.140|2020-12-17 12:08:35.590|2020-12-07 11:22:30.000|Flooding|12447812-101004426973                             
1|29.62849417|-95.44387055|Intersection 4300 BOYNTON DR&13712 WRIGLEY ST|2020-09-22 11:54:34.497|2020-09-22 17:59:18.563|2020-09-26 11:54:34.000|Flooding|12441864-101004284907                             
1|29.63155942|-95.33935546|Intersection 5300 FAIRGREEN LN&11900 MARTIN LUTHER KING BLVD|2020-11-28 08:01:26.667|2020-11-30 06:09:19.337|2020-12-02 07:59:00.000|Flooding|12447362-101004421642                             
1|29.63191607|-95.4501419|Intersection 13400 PLAYER ST&4714 TRAIL LAKE DR|2020-09-22 09:50:35.210|2020-09-22 14:24:18.977|2020-09-26 09:50:34.000|Flooding|12441781-101004284617                             
1|29.63250055|-95.36742553|11800 SCOTT, HOUSTON TX 77047|2020-09-22 11:34:26.543|2020-09-22 19:09:18.817|2020-09-26 11:34:26.000|Flooding|12441848-101004284848                             
1|29.63253373|-95.4491488|4627 KNOTTY OAKS, HOUSTON TX 77045|2021-06-04 15:24:45.233|2021-06-07 10:54:06.917|2021-06-08 15:24:44.000|Flooding|12464832-101004713547                             
1|29.63256841|-95.46775895|5631 COASTAL, HOUSTON TX 77085|2021-02-19 11:03:53.090|2021-02-19 11:29:19.323|2021-02-23 11:03:52.000|Flooding|12454024-101004561053                             
1|29.63326383|-95.35967902|4315 MADDEN, HOUSTON TX 77047|2021-02-16 16:11:33.867|2021-02-16 20:28:31.440|2021-02-20 16:11:33.000|Flooding|101004545919                                      
1|29.63338244|-95.44290741|4311 TIDEWATER, HOUSTON TX 77045|2020-09-21 21:32:51.313|2020-09-22 11:19:18.963|2020-09-25 21:32:51.000|Flooding|12441634-101004284157                             
1|29.63365302|-95.44946732|Intersection 13200 PLAYER ST&4700 TIDEWATER DR|2020-09-22 09:49:24.193|2020-09-22 14:04:19.363|2020-09-26 09:49:23.000|Flooding|12441780-101004284612                             
1|29.63390252|-95.44627743|Intersection 13324 HIRAM CLARKE RD&4500 TIDEWATER DR|2020-09-22 11:51:53.537|2020-09-22 19:19:19.247|2020-09-26 11:51:53.000|Flooding|12441861-101004284900                             
1|29.63433583|-95.45202689|4727 LOTUS, HOUSTON TX 77045|2020-07-26 16:57:14.720|2020-07-27 14:49:18.580|2020-07-30 16:57:14.000|Flooding|12435995-101004185217                             
1|29.63433583|-95.45202689|4727 LOTUS, HOUSTON TX 77045|2020-07-29 14:23:07.523|2020-07-30 14:29:18.740|2020-08-02 14:23:07.000|Flooding|12436430-101004189453                             
1|29.63433583|-95.45202689|4727 LOTUS, HOUSTON TX 77045|2020-08-17 10:46:11.500|2020-08-19 06:16:48.473|2020-08-21 10:46:10.000|Flooding|12438123-101004221746                             
1|29.63433583|-95.45202689|4727 LOTUS, HOUSTON TX 77045|2021-05-01 14:44:32.020|2021-05-03 09:07:37.787|2021-05-05 14:44:31.000|Flooding|12459864-101004661653                             
1|29.63458743|-95.45170923|4719 LOTUS, HOUSTON TX 77045|2021-05-01 15:30:04.233|2021-05-03 09:07:37.753|2021-05-05 15:30:03.000|Flooding|12459868-101004661686                             
1|29.63470541|-95.45154817|4715 LOTUS, HOUSTON TX 77045|2020-08-17 11:48:49.377|2020-08-19 06:16:50.223|2020-08-21 11:48:48.000|Flooding|12438139-101004221909                             
1|29.63483378|-95.45237747|4726 LOTUS, HOUSTON TX 77045|2020-07-29 08:25:52.447|2020-07-29 12:04:18.343|2020-08-02 08:25:52.000|Flooding|12436360-101004188793                             
1|29.63483378|-95.45237747|4726 LOTUS, HOUSTON TX 77045|2021-05-01 16:52:35.773|2021-05-03 09:07:37.770|2021-05-05 16:52:35.000|Flooding|12459872-101004661751                             
1|29.63512542|-95.45189353|4714 LOTUS, HOUSTON TX 77045|2020-09-23 11:11:02.803|2020-09-24 09:04:18.847|2020-09-27 11:11:02.000|Flooding|12442180-101004286435                             
1|29.63518157|-95.24495105|10910 GULF, HOUSTON TX 77075|2020-07-25 17:38:59.230|2020-07-28 09:44:19.057|2020-07-29 17:38:58.000|Flooding|12435940-101004184824                             
1|29.63578215|-95.24375903|Intersection 9700 LEDGE ST&9300 NATHANIEL ST|2021-02-12 09:08:49.177|2021-02-19 12:19:19.030|2021-02-16 09:08:49.000|Flooding|12453785-101004543017                             
1|29.637346|-95.22701971|10437 AMBURSEN, HOUSTON TX 77034|2020-09-22 18:58:50.290|2020-09-23 08:59:19.697|2020-09-26 18:58:49.000|Flooding|12441988-101004285584                             
1|29.637346|-95.22701971|10437 AMBURSEN, HOUSTON TX 77034|2020-12-13 14:02:29.347|2020-12-17 12:01:13.880|2020-12-17 14:02:29.000|Flooding|12448548-101004447993                             
1|29.63836128|-95.38025732|10914 BUFFUM, HOUSTON TX 77051|2020-12-30 02:59:42.473|2020-12-31 10:29:21.187|2021-01-03 02:59:42.000|Flooding|12449917-101004464214                             
1|29.63841584|-95.44434404|4402 BRENTWOOD PARK, HOUSTON TX 77045|2020-12-14 11:33:32.627|2020-12-17 11:35:13.777|2020-12-18 11:33:32.000|Flooding|12448688-101004448851                             
1|29.63866865|-95.40275419|1912 HELVICK, HOUSTON TX 77051|2021-02-02 08:30:48.893|2021-02-02 08:44:21.223|2021-02-06 08:30:48.000|Flooding|12452874-101004511755                             
1|29.64197858|-95.2305954|10319 HINDS, HOUSTON TX 77034|2020-12-31 12:30:24.847|2021-01-01 03:09:20.747|2021-01-04 12:30:24.000|Flooding|12450053-101004466030                             
1|29.64210753|-95.29518526|323 IPSWICH, HOUSTON TX 77061|2021-05-24 15:42:55.430|2021-05-24 15:51:46.277|2021-05-28 15:42:55.000|Flooding|12462779-101004699240                             
1|29.6422089|-95.25945421|8819 BARTON, HOUSTON TX 77075|2020-07-25 16:54:56.850|2020-07-27 13:39:18.340|2020-07-29 16:54:56.000|Flooding|12435929-101004184795                             
1|29.64261944|-95.54411958|9522 RAVENSWORTH, HOUSTON TX 77031|2020-09-22 17:43:01.863|2020-09-23 09:49:18.773|2020-09-26 17:43:01.000|Flooding|12441976-101004285526                             
1|29.645059|-95.54592398|12330 CHESSINGTON, HOUSTON TX 77031|2021-05-24 12:00:21.490|2021-05-24 13:25:46.523|2021-05-28 12:00:21.000|Flooding|12462566-101004698578                             
1|29.64525628|-95.54626359|12322 CHESSINGTON, HOUSTON TX 77031|2021-05-24 14:05:08.577|2021-05-24 14:42:46.300|2021-05-28 14:05:08.000|Flooding|12462679-101004698926                             
1|29.64676058|-95.5379027|12518 WRENTHORPE, HOUSTON TX 77031|2020-10-01 00:06:17.903|2020-10-01 10:49:19.083|2020-10-05 00:06:17.000|Flooding|12443059-101004296509                             
1|29.64799651|-95.22816759|631 SULPHUR, HOUSTON TX 77034|2020-07-23 12:09:35.970|2020-07-23 12:31:38.417|2020-07-27 12:09:35.000|Flooding|101004181914                                      
1|29.64799988|-95.22797474|627 SULPHUR, HOUSTON TX 77034|2020-07-23 12:13:42.393|2020-07-24 08:19:18.897|2020-07-27 12:13:42.000|Flooding|12435635-101004181922                             
1|29.64815002|-95.26478883|8377 MONROE, HOUSTON TX 77061|2020-12-13 23:05:33.550|2020-12-17 11:57:40.313|2020-12-17 23:05:33.000|Flooding|12448600-101004448290                             
1|29.64874702|-95.26537734|8314 MONROE, HOUSTON TX 77061|2020-10-17 00:05:47.100|2020-10-19 08:54:19.440|2020-10-21 00:05:46.000|Flooding|12444527-101004336765                             
1|29.64957429|-95.26714333|Intersection 8300 LARSON ST&8290 W MONROE RD|2020-12-02 18:14:28.260|2020-12-17 12:11:49.107|2020-12-06 18:14:28.000|Flooding|12447754-101004426360                             
1|29.64970854|-95.26395151|8265 MONROE, HOUSTON TX 77061|2020-08-15 14:16:15.577|2020-08-19 06:18:35.960|2020-08-19 14:16:15.000|Flooding|12438011-101004220600                             
1|29.65086735|-95.24615466|Intersection 1300 LASKEY ST&2130 THURMON|2020-12-31 12:50:49.367|2021-01-04 12:34:20.843|2021-01-04 12:50:49.000|Flooding|12450075-101004466081                             
1|29.65088847|-95.50965602|11811 GLADEWOOD, HOUSTON TX 77071|2020-11-27 14:21:48.167|2020-11-30 08:54:18.973|2020-12-01 14:21:47.000|Flooding|12447310-101004421234                             
1|29.6510473|-95.26433726|8620 PANAIR, HOUSTON TX 77061|2020-12-19 22:15:39.543|2020-12-21 05:44:19.897|2020-12-23 22:15:39.000|Flooding|12449186-101004455054                             
1|29.65107707|-95.51144881|11807 STALLION, HOUSTON TX 77071|2020-07-05 22:58:06.763|2020-07-06 09:09:18.730|2020-07-09 22:58:06.000|Flooding|12434015-101004138127                             
1|29.65107707|-95.51144881|11807 STALLION, HOUSTON TX 77071|2021-01-24 13:53:17.917|2021-01-25 10:24:21.670|2021-01-28 13:53:17.000|Flooding|12452080-101004502377                             
1|29.65150625|-95.54398816|9130 WEYMOUTH, HOUSTON TX 77031|2021-05-24 11:49:08.563|2021-05-24 13:39:46.263|2021-05-28 11:49:08.000|Flooding|12462555-101004698548                             
1|29.65250118|-95.51157317|7610 COACHWOOD, HOUSTON TX 77071|2020-07-01 11:54:10.913|2020-07-02 10:19:20.497|2020-07-05 11:54:10.000|Flooding|12433692-101004133787                             
1|29.65250118|-95.51157317|7610 COACHWOOD, HOUSTON TX 77071|2020-07-01 11:56:57.307|2020-07-01 11:57:55.777|2020-07-05 11:56:57.000|Flooding|12433692-101004133794                             
1|29.65457772|-95.35020284|4909 HIGGINS, HOUSTON TX 77033|2021-02-12 13:30:48.720|2021-02-14 16:24:29.077|2021-02-16 13:30:48.000|Flooding|12453803-101004543436                             
1|29.65487781|-95.56750472|10708 BELLFORT, HOUSTON TX 77099|2020-09-21 22:39:52.123|2020-09-22 15:09:19.080|2020-09-25 22:39:51.000|Flooding|12441646-101004284187                             
1|29.65599449|-95.45602202|11221 CLIFFWOOD, HOUSTON TX 77035|2020-07-24 10:03:24.807|2020-07-27 10:09:19.220|2020-07-28 10:03:24.000|Flooding|12435751-101004183157                             
1|29.65599449|-95.45602202|11221 CLIFFWOOD, HOUSTON TX 77035|2020-09-22 22:10:18.510|2020-09-23 09:54:19.230|2020-09-26 22:10:18.000|Flooding|12442023-101004285706                             
1|29.65747902|-95.33461665|5746 HIRONDEL, HOUSTON TX 77033|2020-09-23 11:43:03.690|2020-09-24 13:04:19.513|2020-09-27 11:43:03.000|Flooding|12442188-101004286529                             
1|29.65796334|-95.48513637|5615 SPELLMAN, HOUSTON TX 77096|2021-02-24 23:06:29.840|2021-03-19 15:54:24.513|2021-02-28 23:06:29.000|Flooding|12454324-101004571719                             
1|29.65887836|-95.47581485|11303 CHIMNEY ROCK, HOUSTON TX 77035|2021-02-18 23:08:47.530|2021-02-19 00:34:19.807|2021-02-22 23:08:47.000|Flooding|12454014-101004560377                             
1|29.66003876|-95.49076409|5818 SANFORD, HOUSTON TX 77096|2021-05-24 11:56:29.440|2021-05-24 13:29:46.290|2021-05-28 11:56:29.000|Flooding|12462559-101004698565                             
1|29.66055341|-95.58155731|11502 BROOKLEDGE, HOUSTON TX 77099|2020-09-21 21:31:08.890|2020-09-22 10:34:18.983|2020-09-25 21:31:08.000|Flooding|12441633-101004284156                             
1|29.66115762|-95.51121107|7703 CLARIDGE, HOUSTON TX 77071|2021-02-21 14:28:42.313|2021-02-22 09:39:19.943|2021-02-25 14:28:42.000|Flooding|12454121-101004565048                             
1|29.66178274|-95.56070581|10401 ROCKLEY, HOUSTON TX 77099|2020-09-21 22:55:37.827|2020-09-22 10:59:19.227|2020-09-25 22:55:37.000|Flooding|12441648-101004284197                             
1|29.66272307|-95.46826735|5042 STILLBROOKE, HOUSTON TX 77035|2021-04-15 17:31:29.350|2021-04-20 09:19:22.320|2021-04-19 17:31:29.000|Flooding|12458563-101004643381                             
1|29.66295633|-95.30356671|7185 SIMS, HOUSTON TX 77061|2021-02-23 23:05:44.537|2021-03-19 16:31:02.157|2021-02-27 23:05:44.000|Flooding|12454253-101004569653                             
1|29.66398641|-95.46182597|4841 WILLOWBEND, HOUSTON TX 77035|2021-02-20 13:15:51.707|2021-02-20 13:34:18.937|2021-02-24 13:15:51.000|Flooding|12454073-101004563571                             
1|29.66450147|-95.48423884|5603 STILLBROOKE, HOUSTON TX 77096|2021-06-01 21:35:52.380|2021-06-02 11:34:54.303|2021-06-05 21:35:52.000|Flooding|12464227-101004709009                             
1|29.66592257|-95.54457637|10502 PLAINFIELD, HOUSTON TX 77031|2020-09-22 11:20:31.870|2020-09-22 17:19:18.763|2020-09-26 11:20:31.000|Flooding|12441836-101004284816                             
1|29.66604964|-95.31529082|6319 BELARBOR, HOUSTON TX 77087|2020-09-03 14:23:13.853|2020-09-08 09:29:19.300|2020-09-07 14:21:00.000|Flooding|12439997-101004263916                             
1|29.66619323|-95.35925446|4521 GALESBURG, HOUSTON TX 77051|2020-09-29 09:53:36.103|2020-10-01 12:29:22.020|2020-10-03 09:53:35.000|Flooding|12442850-101004293732                             
1|29.66661865|-95.46721238|10610 ENDICOTT, HOUSTON TX 77035|2020-07-22 16:35:00.230|2020-07-23 15:39:18.750|2020-07-26 16:35:00.000|Flooding|12435548-101004181037                             
1|29.66711631|-95.55412135|10003 FORUM WEST, HOUSTON TX 77036|2021-05-24 15:13:51.147|2021-05-25 10:12:46.823|2021-05-28 15:12:00.000|Flooding|12462744-101004699141                             
1|29.66717698|-95.5219293|8127 TWIN HILLS, HOUSTON TX 77071|2020-08-03 07:16:12.667|2020-08-04 08:49:19.080|2020-08-07 07:16:12.000|Flooding|12436800-101004193824                             
1|29.66788673|-95.48258205|Intersection 10400 ATWELL DR&5600 LYMBAR DR|2020-07-22 12:17:32.520|2020-07-22 15:24:18.693|2020-07-26 12:17:32.000|Flooding|12435488-101004180550                             
1|29.66788953|-95.34733577|5115 PENSDALE, HOUSTON TX 77033|2020-07-27 03:43:43.817|2020-07-27 13:29:18.803|2020-07-31 03:43:43.000|Flooding|12436011-101004185393                             
1|29.6679382|-95.45670916|4703 MCDERMED, HOUSTON TX 77035|2021-02-20 17:01:03.863|2021-02-21 20:54:19.950|2021-02-24 17:01:03.000|Flooding|12454090-101004564016                             
1|29.66813051|-95.48281798|5606 LYMBAR, HOUSTON TX 77096|2020-07-22 12:19:33.693|2020-07-22 15:19:18.473|2020-07-26 12:19:33.000|Flooding|12435492-101004180557                             
1|29.66835874|-95.33507874|5739 NORTHRIDGE, HOUSTON TX 77033|2020-09-22 14:49:34.470|2020-09-23 15:59:18.943|2020-09-26 14:49:34.000|Flooding|12441931-101004285267                             
1|29.66857608|-95.40303595|Intersection 9300 FANNIN ST&2000 HOLMES RD|2020-09-30 10:37:16.787|2020-10-01 11:04:20.423|2020-10-04 10:37:15.000|Flooding|12443005-101004295577                             
1|29.6686274|-95.3481375|8010 JUTLAND, HOUSTON TX 77033|2021-05-24 17:00:27.380|2021-05-25 09:02:46.720|2021-05-28 17:00:27.000|Flooding|12462845-101004699477                             
1|29.66906503|-95.33065506|5939 RIDGEWAY, HOUSTON TX 77033|2020-09-22 08:51:47.000|2020-09-22 14:44:18.887|2020-09-26 08:51:46.000|Flooding|12441749-101004284480                             
1|29.66971863|-95.4874435|5718 WIGTON, HOUSTON TX 77096|2020-07-22 12:48:05.617|2020-07-22 15:54:18.723|2020-07-26 12:48:05.000|Flooding|12435506-101004180650                             
1|29.66972185|-95.48720476|5714 WIGTON, HOUSTON TX 77096|2020-07-20 01:29:55.843|2020-07-20 09:24:18.770|2020-07-24 01:29:55.000|Flooding|12435230-101004176820                             
1|29.66972185|-95.48720476|5714 WIGTON, HOUSTON TX 77096|2020-07-20 23:56:53.000|2020-07-21 07:34:19.157|2020-07-24 23:56:52.000|Flooding|12435330-101004178398                             
1|29.66988082|-95.44437857|10302 WOODWIND, HOUSTON TX 77025|2020-12-01 23:06:26.400|2020-12-17 12:11:47.467|2020-12-05 23:06:26.000|Flooding|12447650-101004425324                             
1|29.66988082|-95.44437857|10302 WOODWIND, HOUSTON TX 77025|2020-12-01 23:06:27.773|2020-12-01 23:07:15.180|2020-12-05 23:06:27.000|Flooding|12447650-101004425325                             
1|29.67055408|-95.48558697|5650 YARWELL, HOUSTON TX 77096|2021-05-24 12:00:31.680|2021-05-24 13:50:46.333|2021-05-28 12:00:31.000|Flooding|12462571-101004698583                             
1|29.67075654|-95.49722929|6035 DUMFRIES, HOUSTON TX 77096|2020-12-08 10:03:53.547|2020-12-17 12:06:27.447|2020-12-12 10:03:53.000|Flooding|12448108-101004431882                             
1|29.67075654|-95.49722929|6035 DUMFRIES, HOUSTON TX 77096|2021-02-12 07:16:52.193|2021-02-12 15:59:26.963|2021-02-16 07:16:52.000|Flooding|12453776-101004542907                             
1|29.67087618|-95.44535016|10138 OBOE, HOUSTON TX 77025|2020-09-21 20:55:59.340|2020-09-22 13:39:19.170|2020-09-25 20:55:59.000|Flooding|12441625-101004284135                             
1|29.6709048|-95.48514687|5643 DUMFRIES, HOUSTON TX 77096|2021-05-24 12:00:24.833|2021-05-24 13:47:46.317|2021-05-28 12:00:24.000|Flooding|12462568-101004698580                             
